index,display_condition,num_worker,sid
0,1,2,efe16dd0-4d17-11e9-9eb8-005056a4a701-126935
0,0,2,efe52722-4d17-11e9-9eb8-005056a4a701-126935
0,1,2,f43cd388-4d17-11e9-9eb8-005056a4a701-126935
0,1,8,f4b1609a-4d17-11e9-9eb8-005056a4a701-126935
0,0,4,f6161ca0-4d17-11e9-9eb8-005056a4a701-126935
0,0,4,f6822120-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,f6c2c3f6-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,f76dc9b8-4d17-11e9-9eb8-005056a4a701-126935
0,0,8,f81ed302-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,fb62bf88-4d17-11e9-9eb8-005056a4a701-126935
0,0,2,fce716c4-4d17-11e9-9eb8-005056a4a701-126935
0,0,2,fd81c584-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,fedb0a4e-4d17-11e9-9eb8-005056a4a701-126935
0,2,8,efe52722-4d17-11e9-9eb8-005056a4a701-126935
0,2,4,015db410-4d18-11e9-9eb8-005056a4a701-126935
0,0,8,033bd9a6-4d18-11e9-9eb8-005056a4a701-126935
0,0,4,058b464c-4d18-11e9-9eb8-005056a4a701-126935
0,1,2,061e13a0-4d18-11e9-9eb8-005056a4a701-126935
0,2,8,0696eece-4d18-11e9-9eb8-005056a4a701-126935
0,1,4,09177f10-4d18-11e9-9eb8-005056a4a701-126935
0,0,8,09202f02-4d18-11e9-9eb8-005056a4a701-126935
0,1,2,0d9b3496-4d18-11e9-9eb8-005056a4a701-126935
0,0,4,11b40436-4d18-11e9-9eb8-005056a4a701-126935
0,2,8,16005ada-4d18-11e9-9eb8-005056a4a701-126935
0,1,4,16ec33e2-4d18-11e9-9eb8-005056a4a701-126935
0,1,2,185975e6-4d18-11e9-9eb8-005056a4a701-126935
0,0,2,19cef23e-4d18-11e9-9eb8-005056a4a701-126935
0,1,2,1e058232-4d18-11e9-9eb8-005056a4a701-126935
0,2,2,1e15464a-4d18-11e9-9eb8-005056a4a701-126935
0,2,8,25ea4a3c-4d18-11e9-9eb8-005056a4a701-126935
0,2,2,2ca3268c-4d18-11e9-9eb8-005056a4a701-126935
0,1,8,341115fa-4d18-11e9-9eb8-005056a4a701-126935
0,2,2,345e0996-4d18-11e9-9eb8-005056a4a701-126935
0,0,8,37a3b538-4d18-11e9-9eb8-005056a4a701-126935
0,1,2,3ab7f3f6-4d18-11e9-9eb8-005056a4a701-126935
0,2,8,3ccc9b60-4d18-11e9-9eb8-005056a4a701-126935
