sid,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
874d8a4e-4d1a-11e9-9eb8-005056a4a701-126935,ARGR4AJESGHHP,Male,IN,4 year college degree,Strongly like,Strongly like,strongly male,strongly male,Math,Yes,Yes,232232578, good surevy
c26021ce-4d1e-11e9-9eb8-005056a4a701-126935,A2YZHBU3XTPYWZ,Male,FL,4 year college degree,Like,Strongly like,moderately male,slightly female,Math,No,No,212321266,"no comments.
"
a62401e2-4d1e-11e9-9eb8-005056a4a701-126935,A1H5Y0IB7L7CPZ,Female,N/A,4 year college degree,Neither like nor dislike,Like,strongly female,moderately female,Liberal Arts,Yes,No,323333556,
b4d269fe-4d1e-11e9-9eb8-005056a4a701-126935,A2L0O95KOESGVI,Male,IN,4 year college degree,Like,Neither like nor dislike,moderately male,slightly male,Math,Yes,No,232232589, very interesting
c4908ba4-4d1f-11e9-9eb8-005056a4a701-126935,A1WS4ONTCJ1ZG5,Female,IN,4 year college degree,Strongly like,Strongly like,neither male nor female,neither male nor female,Math,Yes,No,121212189, no comments
b697e426-4d1e-11e9-9eb8-005056a4a701-126935,A3RWDYQD1331VH,Female,IN,Some college,Like,Strongly like,strongly female,neither male nor female,Math,Yes,No,512312589, this is nice study thanks for giving change to do study
9dbc0380-4d21-11e9-9eb8-005056a4a701-126935,AMXORHMYQNGST,Male,OH,Master’s degree,Like,Like,moderately male,moderately male,Math,No,No,212221467, NICE
d60da670-4d18-11e9-9eb8-005056a4a701-126935,A1ZB84ZGCAD7H0,Male,IN,4 year college degree,Like,Like,strongly male,moderately male,Math,No,No,321233289, NO
e4155e10-4d1e-11e9-9eb8-005056a4a701-126935,AFUUPNBIKHRFZ,Female,NY,4 year college degree,Strongly like,Strongly like,strongly female,strongly female,Science,No,No,122132278, Good study 
8e5eccca-4d20-11e9-9eb8-005056a4a701-126935,A2B5HZBQ6C3J3L,Male,AL,4 year college degree,Strongly Dislike,Strongly like,moderately male,moderately female,Math,Yes,Yes,131324542, Nah.
cb5b56ee-4d1f-11e9-9eb8-005056a4a701-126935,A2IG18D6M0GNUZ,Male,N/A,Professional Degree,Like,Strongly like,strongly male,neither male nor female,Science,Yes,Yes,332333567, 
499a1780-4d1f-11e9-9eb8-005056a4a701-126935,A8KX1HFH8NE2Q,Male,CA,Master’s degree,Like,Strongly like,slightly male,slightly female,Math,Yes,Yes,555522521, Thanks for the opportunity to participate and good luck with your research!
af79c4a2-4d1e-11e9-9eb8-005056a4a701-126935,A3IM1NBW1G1TCU,Male,N/A,4 year college degree,Like,Like,neither male nor female,neither male nor female,Math,Yes,Yes,124232555, n/a
70cc6ddc-4d22-11e9-9eb8-005056a4a701-126935,AAJZ7OX710SZV,Male,HI,Master’s degree,Like,Strongly like,moderately female,slightly female,Science,Yes,Yes,232323232, NO COMMENTS
3352cdb6-4d22-11e9-9eb8-005056a4a701-126935,A3G39R2SKCALD8,Female,IN,4 year college degree,Like,Strongly like,neither male nor female,neither male nor female,Math,Yes,No,121212189, no comments
87a01ebe-4d22-11e9-9eb8-005056a4a701-126935,A3HQ79XXFXL57N,Female,GA,4 year college degree,Like,Like,slightly male,slightly female,Liberal Arts,No,No,212121245, no comments
691ef5ea-4d23-11e9-9eb8-005056a4a701-126935,A3OSOC0JEUTBS7,Male,CA,Master’s degree,Like,Like,slightly male,slightly female,Math,No,No,222222287, GOOD
0d789386-4d23-11e9-9eb8-005056a4a701-126935,A2YCIBO6DZ8WIA,Female,FL,4 year college degree,Like,Strongly like,moderately male,slightly female,Math,No,No,231223266, NO COMMENTS
9bb105e4-4d22-11e9-9eb8-005056a4a701-126935,A2TLN8489YGY81,Male,MA,4 year college degree,Strongly Dislike,Strongly like,neither male nor female,neither male nor female,Math,Yes,Yes,311123533,The HIT did not work on the Firefox browser but it did work on the Chrome browser.
d05e832c-4d20-11e9-9eb8-005056a4a701-126935,A1ZIL55KKMXE31,Male,N/A,Master’s degree,Like,Strongly like,moderately male,strongly male,Math,Yes,No,223233267, this survey is good It gave  a good experience for me.  thanks.
913a9b50-4d1f-11e9-9eb8-005056a4a701-126935,A39N0WW02VT0MB,Male,N/A,Some college,Strongly like,Like,strongly male,moderately female,Math,Yes,No,231112578, Good survey 
4c62d27e-4d22-11e9-9eb8-005056a4a701-126935,AVXEDARJC5HLU,Male,IL,High School,Like,Like,neither male nor female,neither male nor female,Math,Yes,Yes,555521567, 
8901e838-4d21-11e9-9eb8-005056a4a701-126935,A3DKFBFK3FA3MA,Male,NY,4 year college degree,Strongly like,Strongly like,strongly male,strongly male,Science,No,No,212212289, Good study 
452bcf5a-4d23-11e9-9eb8-005056a4a701-126935,A382SL9ROIY1P6,Male,N/A,Professional Degree,Like,Neither like nor dislike,neither male nor female,neither male nor female,Science,Yes,Yes,221223557, 
e6afd2f0-4d22-11e9-9eb8-005056a4a701-126935,A3AJ1FK1HXDM6E,Female,IN,Professional Degree,Like,Like,slightly male,slightly male,Math,No,No,322222467, NICE
02b10396-4d25-11e9-9eb8-005056a4a701-126935,A37TO5UO0436T2,Male,OH,Master’s degree,Like,Like,strongly male,slightly male,Math,No,No,212121587, nice
4b78d1e4-4d25-11e9-9eb8-005056a4a701-126935,A3HQR19714YWRV,Male,TX,Master’s degree,Strongly like,Strongly like,moderately male,moderately male,Other,Yes,Yes,211112222, NICE
a1b513fc-4d24-11e9-9eb8-005056a4a701-126935,A2IG18D6M0GNUZ,Male,N/A,Professional Degree,Like,Strongly like,neither male nor female,neither male nor female,Science,Yes,Yes,232223576, 
cb5b56ee-4d1f-11e9-9eb8-005056a4a701-126935,A2IG18D6M0GNUZ,Male,N/A,Professional Degree,Like,Strongly like,strongly male,neither male nor female,Science,Yes,Yes,332333567, 
de79788c-4d24-11e9-9eb8-005056a4a701-126935,A2R7ICMI5Z1FNI,Female,KS,Master’s degree,Like,Like,moderately female,strongly female,Math,Yes,Yes,212322578, IT'S NICE STUDY.
c1c9f8ba-4d1f-11e9-9eb8-005056a4a701-126935,AYKQ1UN34V8KL,Male,IN,Master’s degree,Neither like nor dislike,Like,slightly male,slightly female,Math,No,No,222222266, no
deb6e80a-4d26-11e9-9eb8-005056a4a701-126935,A2IG18D6M0GNUZ,Male,N/A,Professional Degree,Like,Strongly like,neither male nor female,neither male nor female,Science,Yes,Yes,232232567, Interesting task. Looking forward to working with you in the future
cb5b56ee-4d1f-11e9-9eb8-005056a4a701-126935,A2IG18D6M0GNUZ,Male,N/A,Professional Degree,Like,Strongly like,strongly male,neither male nor female,Science,Yes,Yes,332333567, 
05787458-4d23-11e9-9eb8-005056a4a701-126935,A9V3FN8FBJK0Z,Male,N/A,Master’s degree,Like,Like,neither male nor female,neither male nor female,Other,No,Yes,434312578, excellence
848ad4d2-4d25-11e9-9eb8-005056a4a701-126935,A1IV1O890FN1QA,Male,TX,Master’s degree,Strongly like,Like,strongly male,moderately male,Math,Yes,Yes,211222175, VERY NICE
c98e26d4-4d24-11e9-9eb8-005056a4a701-126935,A18EK6R8N73U2N,Female,N/A,4 year college degree,Strongly like,Strongly like,strongly female,neither male nor female,Math,Yes,Yes,1211225XX, na
fb535b28-4d27-11e9-9eb8-005056a4a701-126935,A18BLWJSKG7E14,Female,KS,Master’s degree,Like,Like,moderately female,neither male nor female,Math,Yes,Yes,232212578, it's nice study.
e5a1db78-4d28-11e9-9eb8-005056a4a701-126935,A1FN9M95P9T9TJ,Female,CT,4 year college degree,Like,Strongly like,slightly male,slightly female,Science,No,No,121212167, NO COMMENTS
4960e7d8-4d26-11e9-9eb8-005056a4a701-126935,A8F6JFG0WSELT,Male,N/A,4 year college degree,Strongly like,Strongly like,strongly male,neither male nor female,Math,Yes,Yes,1212115XX, na
1d1aa852-4d27-11e9-9eb8-005056a4a701-126935,A31J4TQIDERVVE,Male,N/A,4 year college degree,Like,Strongly like,moderately male,strongly male,Liberal Arts,Yes,No,121212124, GOOD
43d6b516-4d28-11e9-9eb8-005056a4a701-126935, APHQB0WGRUJTB,Male,AL,4 year college degree,Strongly like,Strongly like,strongly female,moderately female,Liberal Arts,Yes,Yes,221212287,Excellent
43d6b516-4d28-11e9-9eb8-005056a4a701-126935, APHQB0WGRUJTB,Male,AL,4 year college degree,Strongly like,Strongly like,strongly female,moderately female,Liberal Arts,Yes,Yes,221212287,Excellent
facf61f6-4d2c-11e9-9eb8-005056a4a701-126935,ACU8RTAZQU1GP,Male,N/A,4 year college degree,Like,Strongly like,slightly male,moderately male,Liberal Arts,Yes,Yes,212121581, GOOD
1da966be-4d2c-11e9-9eb8-005056a4a701-126935,A1VDTN45RXC3RK,Male,IA,Master’s degree,Strongly like,Like,strongly male,strongly male,Science,Yes,Yes,221212123, nice
7e0d3d6a-4d30-11e9-9eb8-005056a4a701-126935,ABR5KU8E0NEH,Male,N/A,4 year college degree,Strongly like,Strongly like,strongly male,strongly male,Science,Yes,Yes,2211212X8, GOOD
